Структурное подразделение - полный путь с группирующими	Код функции	Должность /профессия (разряд, категория)	Грейд	ФОТ по рынку
Группирующий узел Волга \ Кировский филиал 	0203 Недвижимость	Начальник отдела	5	195676.91999999998
Группирующий узел Волга \ Кировский филиал 	0203 Недвижимость	Специалист по работе с собственностью 1 категории	2	52061.16416666666
Группирующий узел Волга \ Кировский филиал 	0203 Недвижимость	Специалист по работе с собственностью 2 категории	2	63753.917499999996
Группирующий узел Волга \ Кировский филиал 	0204 АБ - Офис	Руководитель направления по пожарной безопасности	5	196251.12
Группирующий узел Волга \ Кировский филиал 	0205 АБ - Строительство и эксплуатация	Ведущий инженер	3	68012.79333333333
Группирующий узел Волга \ Кировский филиал 	0205 АБ - Строительство и эксплуатация	Инженер 2 категории	2	47468.47
Группирующий узел Волга \ Кировский филиал 	0205 АБ - Строительство и эксплуатация	Инженер по организации эксплуатации и ремонту зданий и сооружений 1 категории	2	58665.88
Группирующий узел Волга \ Кировский филиал 	0205 АБ - Строительство и эксплуатация	Начальник отдела	5	167131.35
Группирующий узел Волга \ Кировский филиал 	0205 АБ - Строительство и эксплуатация	Руководитель направления	5	158357.835
Группирующий узел Волга \ Кировский филиал 	0206 ББ - Безопасность	Ведущий специалист	3	73852.95749999999
Группирующий узел Волга \ Кировский филиал 	0206 ББ - Безопасность	Ведущий специалист по защите информации	3	78701.19249999999
Группирующий узел Волга \ Кировский филиал 	0207 ББ - Государственная тайна	Ведущий специалист	3	104741.50749999999
Группирующий узел Волга \ Кировский филиал 	0207 ББ - Государственная тайна	Начальник отдела	5	185979.465
Группирующий узел Волга \ Кировский филиал 	0207 ББ - Государственная тайна	Специалист 1 категории	2	65321.9525
Группирующий узел Волга \ Кировский филиал 	0209 МПГОЧС	Ведущий специалист	3	81147.05374999999
Группирующий узел Волга \ Кировский филиал 	0209 МПГОЧС	Начальник отдела	5	192942.94499999998
Группирующий узел Волга \ Кировский филиал 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Ведущий специалист	3	71249.81999999999
Группирующий узел Волга \ Кировский филиал 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Главный специалист	4	99779.26999999999
Группирующий узел Волга \ Кировский филиал 	0227 БТИ_ОФИС_ОТ	Главный специалист по охране труда	3	78639.06749999999
Группирующий узел Волга \ Кировский филиал 	0227 БТИ_ОФИС_ОТ	Начальник отдела	5	144005.445
Группирующий узел Волга \ Кировский филиал 	0228 БТИ_ОФИС_Планир	Ведущий инженер электросвязи	3	77986.85916666668
Группирующий узел Волга \ Кировский филиал 	0233 БТИ_ОФИС_СГЭ	Ведущий инженер-энергетик	3	85348.48375
Группирующий узел Волга \ Кировский филиал 	0233 БТИ_ОФИС_СГЭ	Главный энергетик	5	167832.335
Группирующий узел Волга \ Кировский филиал 	0235 БТИ_ОФИС_Строит	Ведущий инженер	3	76817.43166666666
Группирующий узел Волга \ Кировский филиал 	0235 БТИ_ОФИС_Строит	Инженер	2	51973.99
Группирующий узел Волга \ Кировский филиал 	0235 БТИ_ОФИС_Строит	Руководитель направления	4	113596.71125
Группирующий узел Волга \ Кировский филиал 	0237 БТИ_ОФИС_Орг_эксп	Ведущий инженер электросвязи	3	83191.59625
Группирующий узел Волга \ Кировский филиал 	0237 БТИ_ОФИС_Орг_эксп	Руководитель группы	4	129146.025
Группирующий узел Волга \ Кировский филиал 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Ведущий инженер по ремонту модулей	3	82552.98333333332
Группирующий узел Волга \ Кировский филиал 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Инженер по ремонту модулей	2	58284.080555555534
Группирующий узел Волга \ Кировский филиал 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Руководитель группы	4	108840.04000000001
Группирующий узел Волга \ Кировский филиал 	0295 БТИ_ЦУС_РЦУСС_Монит	Диспетчер	2	53623.933333333334
Группирующий узел Волга \ Кировский филиал 	0295 БТИ_ЦУС_РЦУСС_Монит	Руководитель группы	4	94638.3475
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Ведущий специалист	3	75735.66083333333
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Водитель автомобиля	1	37969.17728424014
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Главный специалист	4	120452.835
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Машинист автогидроподъемника	1	40610.6325
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Машинист бурильнокрановой машины	1	35640.85783333333
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Машинист крана автомобильного	1	38284.00083333333
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Машинист экскаватора	1	39396.96041666667
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Механик-контролер	1	40000.1675
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Механик-контролер	2	49621.73333333334
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Начальник цеха	5	191119.86
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Слесарь по ремонту средств транспорта и механизации	1	38996.21
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Специалист	1	35517.295
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Специалист	2	49578.21625
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Специалист по безопасности дорожного движения	2	59441.88416666666
Группирующий узел Волга \ Кировский филиал 	0299 БТИ_Транспорт	Электрогазосварщик	1	43328.305
Группирующий узел Волга \ Кировский филиал 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Ведущий инженер электросвязи	3	79782.83703703702
Группирующий узел Волга \ Кировский филиал 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Инженер электросвязи	2	57652.61673387096
Группирующий узел Волга \ Кировский филиал 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Начальник цеха	4	127595.31000000001
Группирующий узел Волга \ Кировский филиал 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Электромеханик связи	2	57060.36111111112
Группирующий узел Волга \ Кировский филиал 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Электромонтер 5 разряда	2	56688.68333333333
Группирующий узел Волга \ Кировский филиал 	0305 БТИ_xЦТЭТ_ТЦТЭТ_БС	Антенщик-мачтовик 5 разряда	2	60367.99999999999
Группирующий узел Волга \ Кировский филиал 	0305 БТИ_xЦТЭТ_ТЦТЭТ_БС	Ведущий инженер электросвязи	3	74946.88055555556
Группирующий узел Волга \ Кировский филиал 	0305 БТИ_xЦТЭТ_ТЦТЭТ_БС	Инженер электросвязи	2	57703.891666666656
Группирующий узел Волга \ Кировский филиал 	0305 БТИ_xЦТЭТ_ТЦТЭТ_БС	Руководитель группы	4	129806.59000000001
Группирующий узел Волга \ Кировский филиал 	0305 БТИ_xЦТЭТ_ТЦТЭТ_БС	Электромеханик связи	2	55962.94317585301
Группирующий узел Волга \ Кировский филиал 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Ведущий инженер электросвязи	3	79252.10740740743
Группирующий узел Волга \ Кировский филиал 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Инженер электросвязи	2	58900.77666666666
Группирующий узел Волга \ Кировский филиал 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Начальник участка	4	109872.32
Группирующий узел Волга \ Кировский филиал 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Ведущий инженер электросвязи	3	86918.88333333333
Группирующий узел Волга \ Кировский филиал 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Инженер электросвязи	2	58240.74666666666
Группирующий узел Волга \ Кировский филиал 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Руководитель группы	4	109167.54000000001
Группирующий узел Волга \ Кировский филиал 	0315 БТИ_xЦТЭТ_хЦТЭТ_ЭУ	Ведущий инженер-энергетик	3	77242.76388888889
Группирующий узел Волга \ Кировский филиал 	0315 БТИ_xЦТЭТ_хЦТЭТ_ЭУ	Инженер-энергетик	2	58484.36282051281
Группирующий узел Волга \ Кировский филиал 	0315 БТИ_xЦТЭТ_хЦТЭТ_ЭУ	Инженер-энергетик	3	78273.70833333333
Группирующий узел Волга \ Кировский филиал 	0315 БТИ_xЦТЭТ_хЦТЭТ_ЭУ	Руководитель группы	4	125132.51000000001
Группирующий узел Волга \ Кировский филиал 	0331 B2B - Планирование, финансовый и бизнес-анализ	Руководитель группы	4	90617.04000000001
Группирующий узел Волга \ Кировский филиал 	0331 B2B - Планирование, финансовый и бизнес-анализ	Руководитель направления	4	120662.7
Группирующий узел Волга \ Кировский филиал 	0333 B2B - Продукты	Руководитель группы	4	140161
Группирующий узел Волга \ Кировский филиал 	0341 B2B - Продажи и обслуживание, старший сегмент	Ведущий менеджер по работе с холдингами	3	90520
Группирующий узел Волга \ Кировский филиал 	0341 B2B - Продажи и обслуживание, старший сегмент	Ведущий сервис-менеджер по работе с холдингами	2	76582.40000000001
Группирующий узел Волга \ Кировский филиал 	0341 B2B - Продажи и обслуживание, старший сегмент	Менеджер по работе с холдингами	3	91087.20000000001
Группирующий узел Волга \ Кировский филиал 	0341 B2B - Продажи и обслуживание, старший сегмент	Руководитель направления	4	150544
Группирующий узел Волга \ Кировский филиал 	0341 B2B - Продажи и обслуживание, старший сегмент	Сервис-менеджер по работе с холдингами	2	78366.40000000001
Группирующий узел Волга \ Кировский филиал 	0342 B2C - Бизнес-анализ	Ведущий специалист	3	84454.64
Группирующий узел Волга \ Кировский филиал 	0342 B2C - Бизнес-анализ	Руководитель группы	4	118107.83999999998
Группирующий узел Волга \ Кировский филиал 	0343 B2C - Клиентский опыт и обслуживание	Ведущий специалист	3	80529.505
Группирующий узел Волга \ Кировский филиал 	0343 B2C - Клиентский опыт и обслуживание	Руководитель группы	4	122888.01000000001
Группирующий узел Волга \ Кировский филиал 	0352 B2C - Новостройки и УК	Ведущий специалист	3	93094.265
Группирующий узел Волга \ Кировский филиал 	0352 B2C - Новостройки и УК	Менеджер клиентских проектов	4	107826.3375
Группирующий узел Волга \ Кировский филиал 	0352 B2C - Новостройки и УК	Руководитель группы	4	102066.8125
Группирующий узел Волга \ Кировский филиал 	0353 B2C - Продажи	Ведущий специалист	3	84154.31291666668
Группирующий узел Волга \ Кировский филиал 	0353 B2C - Продажи	Главный специалист	4	141316.9816666667
Группирующий узел Волга \ Кировский филиал 	0353 B2C - Продажи	Менеджер	3	119247.81250000001
Группирующий узел Волга \ Кировский филиал 	0353 B2C - Продажи	Начальник отдела	5	226985.57499999998
Группирующий узел Волга \ Кировский филиал 	0353 B2C - Продажи	Региональный менеджер	4	123280.8
Группирующий узел Волга \ Кировский филиал 	0353 B2C - Продажи	Руководитель группы	4	174156
Группирующий узел Волга \ Кировский филиал 	0353 B2C - Продажи	Руководитель направления	4	157088.08333333334
Группирующий узел Волга \ Кировский филиал 	0364 B2G1 - Продажи корпоративным клиентам бюджетные организации	Менеджер по работе с госструктурами	3	119952
Группирующий узел Волга \ Кировский филиал 	0364 B2G1 - Продажи корпоративным клиентам бюджетные организации	Руководитель направления	4	170516.5
Группирующий узел Волга \ Кировский филиал 	0364 B2G1 - Продажи корпоративным клиентам бюджетные организации	Специалист	2	70691.25
Группирующий узел Волга \ Кировский филиал 	0367 B2G2 - Прикладные проекты	Руководитель направления	4	146235.25
Группирующий узел Волга \ Кировский филиал 	0371 B2S - Спецпользователи МРФ	Руководитель направления	3	90943.65
Группирующий узел Волга \ Кировский филиал 	0377 Внешние коммуникации	Пресс-секретарь	5	134063.26499999998
Группирующий узел Волга \ Кировский филиал 	0384 УБ - Руководство	Советник	4	113931.03749999999
Группирующий узел Волга \ Кировский филиал 	0386 УБ - Департамент управления делами	Документовед 2 категории	2	61567.1175
Группирующий узел Волга \ Кировский филиал 	0386 УБ - Департамент управления делами	Руководитель группы	5	177844.095
Группирующий узел Волга \ Кировский филиал 	0386 УБ - Департамент управления делами	Секретарь руководителя	2	54119.572499999995
Группирующий узел Волга \ Кировский филиал 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Ведущий инженер	3	100394.58333333334
Группирующий узел Волга \ Кировский филиал 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Инженер	3	93608.18055555556
Группирующий узел Волга \ Кировский филиал 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Начальник участка	4	109151.82
Группирующий узел Волга \ Кировский филиал 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Начальник цеха	5	205821.05
Группирующий узел Волга \ Кировский филиал 	0407 B2B - Департамент продаж МСП	Главный менеджер	3	103300.525
Группирующий узел Волга \ Кировский филиал 	0407 B2B - Департамент продаж МСП	Главный менеджер по работе с государственными заказчиками	3	110254.33333333334
Группирующий узел Волга \ Кировский филиал 	0407 B2B - Департамент продаж МСП	Главный менеджер по работе с объектами коммерческой недвижимости	4	130623.25
Группирующий узел Волга \ Кировский филиал 	0407 B2B - Департамент продаж МСП	Менеджер	2	68113.2
Группирующий узел Волга \ Кировский филиал 	0407 B2B - Департамент продаж МСП	Менеджер по продажам	3	97402
Группирующий узел Волга \ Кировский филиал 	0407 B2B - Департамент продаж МСП	Менеджер по работе с государственными заказчиками	2	63687.950000000004
Группирующий узел Волга \ Кировский филиал 	0407 B2B - Департамент продаж МСП	Руководитель группы	4	147576.625
Группирующий узел Волга \ Кировский филиал 	0407 B2B - Департамент продаж МСП	Руководитель направления	4	175160.33333333334
Группирующий узел Волга \ Кировский филиал 	0407 B2B - Департамент продаж МСП	Старший менеджер по продажам	3	94774.75
Группирующий узел Волга \ Кировский филиал 	0423 БТИ_СЦ_районы_КС	Мастер по обслуживанию абонентов	2	56004.92060064937
Группирующий узел Волга \ Кировский филиал 	0423 БТИ_СЦ_районы_КС	Руководитель направления	4	111326.16136363636
Группирующий узел Волга \ Кировский филиал 	0423 БТИ_СЦ_районы_КС	Сервисный инженер	3	80014.12506172841
Группирующий узел Волга \ Кировский филиал 	0424 БТИ_СЦ_районы_Эксплуатация	Ведущий инженер	2	60182.549999999996
Группирующий узел Волга \ Кировский филиал 	0424 БТИ_СЦ_районы_Эксплуатация	Ведущий инженер	3	75006.6951219512
Группирующий узел Волга \ Кировский филиал 	0424 БТИ_СЦ_районы_Эксплуатация	Инженер	2	55463.75424418606
Группирующий узел Волга \ Кировский филиал 	0424 БТИ_СЦ_районы_Эксплуатация	Руководитель направления	4	112017.99375
Группирующий узел Волга \ Кировский филиал 	0425 БТИ_СЦ_районы_Сопровождение	Специалист по сопровождению	2	49158.54047619047
Группирующий узел Волга \ Кировский филиал 	0426 БТИ_СЦ_районы_Продажи	Супервайзер	3	120448.44444444445
Группирующий узел Волга \ Кировский филиал 	0428 БТИ_СЦ_районы_Развитие	Ведущий инженер по развитию	3	87698.56875
Группирующий узел Волга \ Кировский филиал 	0430 БТИ_СЦ_города_КС	Начальник цеха	4	112452.85333333333
Группирующий узел Волга \ Кировский филиал 	0431 БТИ_СЦ_города_КС_В2С	Ведущий сервисный инженер	3	88093.57499999998
Группирующий узел Волга \ Кировский филиал 	0431 БТИ_СЦ_города_КС_В2С	Мастер по обслуживанию абонентов	2	54757.64999999999
Группирующий узел Волга \ Кировский филиал 	0431 БТИ_СЦ_города_КС_В2С	Руководитель направления	4	109861.65
Группирующий узел Волга \ Кировский филиал 	0432 БТИ_СЦ_города_КС_В2В/В2G	Ведущий сервисный инженер	3	95837.21666666666
Группирующий узел Волга \ Кировский филиал 	0432 БТИ_СЦ_города_КС_В2В/В2G	Начальник участка	4	154738.57499999998
Группирующий узел Волга \ Кировский филиал 	0432 БТИ_СЦ_города_КС_В2В/В2G	Сервисный инженер	2	61398.33333333333
Группирующий узел Волга \ Кировский филиал 	0432 БТИ_СЦ_города_КС_В2В/В2G	Старший мастер по обслуживанию абонентов	2	69090.90972222222
Группирующий узел Волга \ Кировский филиал 	0433 БТИ_СЦ_города_КС_Инсталляции	Инженер-куратор	2	57734.6875
Группирующий узел Волга \ Кировский филиал 	0433 БТИ_СЦ_города_КС_Инсталляции	Инсталлятор	2	62432.16437500001
Группирующий узел Волга \ Кировский филиал 	0433 БТИ_СЦ_города_КС_Инсталляции	Руководитель группы	4	141432.08333333334
Группирующий узел Волга \ Кировский филиал 	0433 БТИ_СЦ_города_КС_Инсталляции	Техник	2	63028.80208333334
Группирующий узел Волга \ Кировский филиал 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Ведущий инженер	3	78706.42962962962
Группирующий узел Волга \ Кировский филиал 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Инженер	2	52801.80316666666
Группирующий узел Волга \ Кировский филиал 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Начальник участка	4	99987.785
Группирующий узел Волга \ Кировский филиал 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Руководитель направления	4	112943.10041666667
Группирующий узел Волга \ Кировский филиал 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Ведущий инженер	3	92668.94583333335
Группирующий узел Волга \ Кировский филиал 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Инженер	2	61378.19430555557
Группирующий узел Волга \ Кировский филиал 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Инспектор по ОПР	2	66285.09375
Группирующий узел Волга \ Кировский филиал 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Начальник цеха	4	108162.79000000001
Группирующий узел Волга \ Кировский филиал 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Руководитель направления	4	116325.59541666668
Группирующий узел Волга \ Кировский филиал 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Старший специалист по линейным сооружениям	2	62683.81634615384
Группирующий узел Волга \ Кировский филиал 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Электромонтер по линейным сооружениям	2	59609.42664999997
Группирующий узел Волга \ Кировский филиал 	0436 БТИ_СЦ_города_Эксплуатация_УРРТ	Ведущий инженер средств радио и телевидения	3	72652.92666666667
Группирующий узел Волга \ Кировский филиал 	0436 БТИ_СЦ_города_Эксплуатация_УРРТ	Инженер средств радио и телевидения	2	47957.541666666664
Группирующий узел Волга \ Кировский филиал 	0437 БТИ_СЦ_города_Развитие	Ведущий инженер по развитию	3	85710.5
Группирующий узел Волга \ Кировский филиал 	0438 БТИ_СЦ_города_Продажи	Супервайзер	3	117568.33333333334
Группирующий узел Волга \ Кировский филиал 	0439 БТИ_СЦ_города_Сопровождение	Специалист по сопровождению	2	55376.43749999999
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0202 АБ - Материально-техническое обеспечение	Специалист	2	51199.395000000004
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0206 ББ - Безопасность	Ведущий специалист	3	85309.42499999999
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0206 ББ - Безопасность	Главный специалист	4	137122.95375
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0224 БТИ_ОФИС	Эксперт по информационной безопасности	4	91361
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0237 БТИ_ОФИС_Орг_эксп	Ведущий инженер	3	82015.465
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0239 БТИ_ЦУС_2ЛТП_МРФ_В2В	Ведущий инженер	3	135888.8125
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0278 БТИ_ЦУС_МРЦУСС_Монит	Инженер электросвязи 1 категории	3	77075.6525
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0279 БТИ_ЦУС_МРЦУСС_Управ	Ведущий инженер электросвязи	3	70644.89249999999
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0316 ФЭБ - Бухгалтерия	Бухгалтер	3	64335.914999999986
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0332 B2B - Маркетинг	Ведущий специалист	3	77832.3125
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0333 B2B - Продукты	Главный специалист	4	144481.81499999997
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0333 B2B - Продукты	Менеджер проектов	5	195353.90999999997
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0364 B2G1 - Продажи корпоративным клиентам бюджетные организации	Главный специалист	4	110076.14249999999
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0372 B2O - Поддержка продаж	Специалист 1 категории	3	94289.965
Группирующий узел Волга \ Макрорегиональный филиал «Волга» 	0386 УБ - Департамент управления делами	Главный специалист	4	128433.22000000002
Группирующий узел Волга \ Нижегородский филиал 	0203 Недвижимость	Ведущий специалист	3	75238.182
Группирующий узел Волга \ Нижегородский филиал 	0203 Недвижимость	Начальник отдела	5	189021.405
Группирующий узел Волга \ Нижегородский филиал 	0203 Недвижимость	Руководитель направления	5	180205.04249999998
Группирующий узел Волга \ Нижегородский филиал 	0203 Недвижимость	Специалист	2	50461.71000000001
Группирующий узел Волга \ Нижегородский филиал 	0203 Недвижимость	Эксперт	5	192316.2975
Группирующий узел Волга \ Нижегородский филиал 	0204 АБ - Офис	Руководитель направления по пожарной безопасности	4	114314.55750000001
Группирующий узел Волга \ Нижегородский филиал 	0205 АБ - Строительство и эксплуатация	Ведущий инженер	3	74728.251
Группирующий узел Волга \ Нижегородский филиал 	0205 АБ - Строительство и эксплуатация	Инженер	2	50431.7125
Группирующий узел Волга \ Нижегородский филиал 	0205 АБ - Строительство и эксплуатация	Инженер по организации эксплуатации и ремонту зданий и сооружений	2	55196.139375000006
Группирующий узел Волга \ Нижегородский филиал 	0205 АБ - Строительство и эксплуатация	Начальник отдела	4	96232.40250000001
Группирующий узел Волга \ Нижегородский филиал 	0205 АБ - Строительство и эксплуатация	Руководитель направления	5	217625.10499999998
Группирующий узел Волга \ Нижегородский филиал 	0205 АБ - Строительство и эксплуатация	Специалист	2	55340.349583333336
Группирующий узел Волга \ Нижегородский филиал 	0206 ББ - Безопасность	Ведущий специалист	3	93259.98
Группирующий узел Волга \ Нижегородский филиал 	0206 ББ - Безопасность	Руководитель направления	5	217092.06
Группирующий узел Волга \ Нижегородский филиал 	0207 ББ - Государственная тайна	Ведущий специалист	3	114500.65499999998
Группирующий узел Волга \ Нижегородский филиал 	0207 ББ - Государственная тайна	Главный специалист	4	175679.52749999997
Группирующий узел Волга \ Нижегородский филиал 	0207 ББ - Государственная тайна	Дежурный бюро пропусков	1	51462.28125
Группирующий узел Волга \ Нижегородский филиал 	0207 ББ - Государственная тайна	Руководитель группы	5	183951.42125
Группирующий узел Волга \ Нижегородский филиал 	0207 ББ - Государственная тайна	Специалист 1 категории	2	63811.23
Группирующий узел Волга \ Нижегородский филиал 	0209 МПГОЧС	Ведущий специалист	3	110642.182
Группирующий узел Волга \ Нижегородский филиал 	0209 МПГОЧС	Главный специалист	3	100135.17499999999
Группирующий узел Волга \ Нижегородский филиал 	0209 МПГОЧС	Главный специалист	4	151345.81
Группирующий узел Волга \ Нижегородский филиал 	0209 МПГОЧС	Главный специалист	5	171163.65
Группирующий узел Волга \ Нижегородский филиал 	0209 МПГОЧС	Заведующий складом	2	60574.657499999994
Группирующий узел Волга \ Нижегородский филиал 	0209 МПГОЧС	Механик	1	37075.252499999995
Группирующий узел Волга \ Нижегородский филиал 	0209 МПГОЧС	Начальник участка	4	94062.75
Группирующий узел Волга \ Нижегородский филиал 	0209 МПГОЧС	Электромеханик связи	2	46545.405
Группирующий узел Волга \ Нижегородский филиал 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Ведущий специалист	2	59106.845
Группирующий узел Волга \ Нижегородский филиал 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Главный специалист	4	118471.12333333334
Группирующий узел Волга \ Нижегородский филиал 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Персональный инженер	4	92132.02124999999
Группирующий узел Волга \ Нижегородский филиал 	0227 БТИ_ОФИС_ОТ	Ведущий специалист по охране труда	2	63098.685000000005
Группирующий узел Волга \ Нижегородский филиал 	0227 БТИ_ОФИС_ОТ	Главный специалист по охране труда	3	84320.01375
Группирующий узел Волга \ Нижегородский филиал 	0227 БТИ_ОФИС_ОТ	Начальник отдела	5	190374.70249999998
Группирующий узел Волга \ Нижегородский филиал 	0228 БТИ_ОФИС_Планир	Ведущий инженер	3	77554.3625
Группирующий узел Волга \ Нижегородский филиал 	0228 БТИ_ОФИС_Планир	Ведущий инженер электросвязи	3	90341.71250000001
Группирующий узел Волга \ Нижегородский филиал 	0228 БТИ_ОФИС_Планир	Начальник отдела	5	161476.13999999998
Группирующий узел Волга \ Нижегородский филиал 	0228 БТИ_ОФИС_Планир	Специалист	2	64212.63250000001
Группирующий узел Волга \ Нижегородский филиал 	0233 БТИ_ОФИС_СГЭ	Ведущий инженер-энергетик	4	100639.5825
Группирующий узел Волга \ Нижегородский филиал 	0233 БТИ_ОФИС_СГЭ	Главный энергетик	5	183259.2
Группирующий узел Волга \ Нижегородский филиал 	0233 БТИ_ОФИС_СГЭ	Инженер-энергетик	2	64385.2225
Группирующий узел Волга \ Нижегородский филиал 	0235 БТИ_ОФИС_Строит	Ведущий инженер	2	61521.365
Группирующий узел Волга \ Нижегородский филиал 	0235 БТИ_ОФИС_Строит	Ведущий инженер	3	80146.74124999999
Группирующий узел Волга \ Нижегородский филиал 	0235 БТИ_ОФИС_Строит	Ведущий специалист	3	66363.47
Группирующий узел Волга \ Нижегородский филиал 	0235 БТИ_ОФИС_Строит	Инженер	2	52756.388750000006
Группирующий узел Волга \ Нижегородский филиал 	0235 БТИ_ОФИС_Строит	Инженер	3	73567.79500000001
Группирующий узел Волга \ Нижегородский филиал 	0235 БТИ_ОФИС_Строит	Руководитель направления	4	117202.99250000001
Группирующий узел Волга \ Нижегородский филиал 	0235 БТИ_ОФИС_Строит	Руководитель направления	5	183885.10375
Группирующий узел Волга \ Нижегородский филиал 	0235 БТИ_ОФИС_Строит	Специалист	2	47980.020000000004
Группирующий узел Волга \ Нижегородский филиал 	0235 БТИ_ОФИС_Строит	Эксперт	5	197386.43
Группирующий узел Волга \ Нижегородский филиал 	0237 БТИ_ОФИС_Орг_эксп	Ведущий инженер	3	76998.675
Группирующий узел Волга \ Нижегородский филиал 	0237 БТИ_ОФИС_Орг_эксп	Ведущий инженер электросвязи	3	79529.06107142857
Группирующий узел Волга \ Нижегородский филиал 	0248 БТИ_xЦТЭТ_ГЦТЭТ_ЛКЦ	Ведущий инженер электросвязи	3	88308.28
Группирующий узел Волга \ Нижегородский филиал 	0258 БТИ_СЦ_города_Эксплуатация_СЦ_СК	Ведущий инженер	3	76985.94499999999
Группирующий узел Волга \ Нижегородский филиал 	0258 БТИ_СЦ_города_Эксплуатация_СЦ_СК	Инженер	2	55633.75911290323
Группирующий узел Волга \ Нижегородский филиал 	0258 БТИ_СЦ_города_Эксплуатация_СЦ_СК	Руководитель направления	4	99842.65500000001
Группирующий узел Волга \ Нижегородский филиал 	0258 БТИ_СЦ_города_Эксплуатация_СЦ_СК	Специалист по станционному оборудованию	2	51747.921481481484
Группирующий узел Волга \ Нижегородский филиал 	0258 БТИ_СЦ_города_Эксплуатация_СЦ_СК	Старший специалист по станционному оборудованию	2	62318.04
Группирующий узел Волга \ Нижегородский филиал 	0258 БТИ_СЦ_города_Эксплуатация_СЦ_СК	Электромонтер по станционному оборудованию	2	52245.89277777778
Группирующий узел Волга \ Нижегородский филиал 	0260 БТИ_СЦ_города_Эксплуатация_СЦ_СПД	Ведущий инженер	3	85377.82083333333
